JobTitle,location,State,normalized_salary,work_type,pay_period,DevType
Business Analyst (Figma /Azure Devops),Atlanta Metropolitan Area,GA,119600.0,CONTRACT,HOURLY,Data or business analyst
Senior Business Analyst,"Portland, Oregon Metropolitan Area",OR,130000.0,FULL_TIME,YEARLY,Data or business analyst
Data Engineer,"California, United States",CA,97284.0,FULL_TIME,MONTHLY,Data engineer
Data Analyst,United States,Nationwide,124800.0,CONTRACT,HOURLY,Data or business analyst
Senior Associate Data Engineer - Azure Cloud,"New York, NY",NY,128500.0,FULL_TIME,YEARLY,Data engineer
"Senior Ai Engineer (Open World Game - Combat, Npcs)","El Segundo, CA",CA,195000.0,FULL_TIME,YEARLY,Data scientist or machine learning specialist
Lead Big Data Engineer (No Sponsorship),United States,Nationwide,140400.0,CONTRACT,HOURLY,Data engineer
Senior Data Engineer,"Waukesha, WI",WI,135000.0,FULL_TIME,YEARLY,Data engineer
Information Technology Business Analyst,"Cincinnati, OH",OH,110000.0,FULL_TIME,YEARLY,Data or business analyst
Senior It Business Analyst,"St Paul, MN",MN,114400.0,CONTRACT,HOURLY,Data or business analyst
"Data Analyst (Go-To-Market Team) - Hybrid / Atlanta, Ga","Atlanta, GA",GA,78950.0,FULL_TIME,YEARLY,Data or business analyst
Data Scientist,"Austin, Texas Metropolitan Area",TX,108160.0,CONTRACT,HOURLY,Data scientist or machine learning specialist
Data Scientist Iii,"North Chicago, IL",IL,124800.0,FULL_TIME,HOURLY,Data scientist or machine learning specialist
Data Analyst,"New Albany, OH",OH,87360.0,CONTRACT,HOURLY,Data or business analyst
Machine Learning Data Engineer Specialist,"Seattle, WA",WA,178910.0,FULL_TIME,YEARLY,Data engineer
Data Scientist (Intermediate),"Plano, TX",TX,125990.0,FULL_TIME,YEARLY,Data scientist or machine learning specialist
Data Engineer - 100% Remote - Contract To Hire (W2),United States,Nationwide,156000.0,CONTRACT,HOURLY,Data engineer
Azure Data Engineer,"Weehawken, NJ",NJ,110000.0,FULL_TIME,YEARLY,Data engineer
Intermediate Data Scientist,"Charlottesville, VA",VA,110000.0,FULL_TIME,YEARLY,Data scientist or machine learning specialist
"Senior Engineer, Ai Software Engineering","San Diego, CA",CA,145000.0,FULL_TIME,YEARLY,Data scientist or machine learning specialist
Data Engineer Manager,"Port Washington, NY",NY,103000.0,FULL_TIME,YEARLY,Data engineer
Applied Researcher - Machine Learning,United States,Nationwide,141500.0,FULL_TIME,YEARLY,Data scientist or machine learning specialist
Data Engineer,"Austin, Texas Metropolitan Area",TX,111280.0,CONTRACT,HOURLY,Data engineer
"Generative Ai Engineer, Senior","McLean, VA",VA,158300.0,FULL_TIME,YEARLY,Data scientist or machine learning specialist
"Autonomous Systems And Artificial Intelligence Researcher, Lead","Washington, DC",WA,180050.0,FULL_TIME,YEARLY,Data scientist or machine learning specialist
Data Scientist Lead – Telematics (Remote),"Houston, TX",TX,222545.0,FULL_TIME,YEARLY,Data scientist or machine learning specialist
Data Scientist Lead – Telematics (Remote),"Irving, TX",TX,222545.0,FULL_TIME,YEARLY,Data scientist or machine learning specialist
Data Scientist Lead – Telematics (Remote),"Austin, TX",TX,222545.0,FULL_TIME,YEARLY,Data scientist or machine learning specialist
Medical Data Analyst / Programmer,"New York, NY",NY,82500.0,FULL_TIME,YEARLY,Data or business analyst
Data Engineer Ii,"Bellevue, WA",WA,135200.0,CONTRACT,HOURLY,Data engineer
Machine Learning Engineer,"Santa Clara, CA",CA,195500.0,FULL_TIME,YEARLY,Data scientist or machine learning specialist
Data Scientist - Ai Investment,United States,Nationwide,225000.0,FULL_TIME,YEARLY,Data scientist or machine learning specialist
Lead Data Engineer,"Nashville, TN",TN,167500.0,FULL_TIME,YEARLY,Data engineer
